text,aspect,sentiment,is_implicit,prediction
Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,price,positive,False,positive
Great food but the service was dreadful!,food,positive,False,positive
Great food but the service was dreadful!,service,negative,False,negative
The portions of the food that came out were mediocre.,portions of the food,neutral,False,neutral
the two waitress's looked like they had been sucking on lemons.,waitress's,negative,True,negative
"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.",staff memebers,positive,False,positive
"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.",parking,positive,False,positive
We enjoyed ourselves thoroughly and will be going back for the desserts ....,desserts,positive,True,positive
Desserts are almost incredible: my personal favorite is their Tart of the Day.,Desserts,positive,False,positive
Desserts are almost incredible: my personal favorite is their Tart of the Day.,Tart of the Day,positive,False,positive
"The food was extremely tasty, creatively presented and the wine excellent.",food,positive,False,positive
"The food was extremely tasty, creatively presented and the wine excellent.",wine,positive,False,positive
THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.,LASAGNA,positive,False,positive
Harumi Sushi has the freshest and most delicious array of sushi in NYC.,array of sushi,positive,False,positive
"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",cuisine,positive,False,positive
"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",owners,positive,False,positive
"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",staff,positive,False,positive
"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.",indian food,positive,False,positive
"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.",ambiance,positive,False,positive
I definitely enjoyed the food as well.,food,positive,False,positive
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",service,positive,False,positive
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",garden,positive,False,positive
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",food,positive,False,positive
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",appetizers,positive,False,positive
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",entrees,positive,False,positive
"The food is surprisingly good, and the decor is nice.",food,positive,False,positive
"The food is surprisingly good, and the decor is nice.",decor,positive,False,positive
How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!,lunch,negative,False,negative
How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!,dinners,negative,False,negative
Two wasted steaks -- what a crime!,steaks,negative,False,negative
The staff should be a bit more friendly.,staff,negative,False,negative
I think the meatball parm is good.,meatball parm,positive,False,positive
"If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong.",latin food,positive,False,positive
Definitely try the taglierini with truffles - it was incredible.,taglierini with truffles,positive,False,positive
"Also, the staff is very attentive and really personable.",staff,positive,False,positive
The gnocchi literally melts in your mouth!,gnocchi,positive,False,positive
Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,staff,positive,False,positive
Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,food,positive,False,positive
Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,portion size,positive,False,positive
Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,portobello/gorgonzola/sausage appetizer,positive,False,positive
Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,lobster risotto,positive,False,positive
"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",Entrees,neutral,True,neutral
"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",lasagna,neutral,True,positive
"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",fettuccine Alfredo,neutral,True,positive
"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",chicken parmigiana,neutral,True,positive
"The food is good, the teriyaki I recommend.",food,positive,False,positive
"The food is good, the teriyaki I recommend.",teriyaki,positive,False,positive
Meal was very expensive for what you get.,Meal,negative,False,negative
Try the Peanut Butter Sorbet and the pizza with soy cheese!,Peanut Butter Sorbet,positive,False,positive
Try the Peanut Butter Sorbet and the pizza with soy cheese!,pizza with soy cheese,positive,False,positive
"Good food at the right price, what more can you ask for.",food,positive,False,positive
"Good food at the right price, what more can you ask for.",price,positive,False,positive
"The food is top notch, the service is attentive, and the atmosphere is great.",food,positive,False,positive
"The food is top notch, the service is attentive, and the atmosphere is great.",service,positive,False,positive
"The food is top notch, the service is attentive, and the atmosphere is great.",atmosphere,positive,False,positive
"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",food,positive,False,positive
"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",waitstaff,positive,False,positive
"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",atmosphere,positive,False,positive
"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",beer,positive,False,positive
this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,food,positive,False,positive
this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,kimono shrimp special,positive,False,positive
this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,atmosphere,positive,False,positive
The menu is interesting and quite reasonably priced.,menu,positive,False,positive
The menu is interesting and quite reasonably priced.,priced,positive,False,positive
The food was delicious and clearly fresh ingredients were used.,food,positive,False,positive
The food was delicious and clearly fresh ingredients were used.,ingredients,positive,False,positive
This made it obvious that the food wasn't cooked fresh; it was obviously made before hand and then reheated.,food,negative,False,negative
Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,Appetizer,positive,False,positive
Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,meal,positive,False,positive
The spicy mussels are a highlight.,spicy mussels,positive,False,positive
Also get the Onion Rings -- best we've ever had.,Onion Rings,positive,False,positive
"However, being foodies, we were utterly disappointed with the food.",food,negative,False,negative
"Huge portions, great and attentive service, and pretty good prices.",portions,positive,False,positive
"Huge portions, great and attentive service, and pretty good prices.",service,positive,False,positive
"Huge portions, great and attentive service, and pretty good prices.",prices,positive,False,positive
I was highly disappointed by their service and food.,service,negative,False,negative
I was highly disappointed by their service and food.,food,negative,False,negative
"I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up.",waiter,negative,False,negative
"I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up.",manager,negative,False,negative
The food is great and the milkshakes are even better!,food,positive,False,positive
The food is great and the milkshakes are even better!,milkshakes,positive,False,positive
the mushroom barley soup is amazing.,mushroom barley soup,positive,False,positive
"I'm glad I did as the food was very good and the staff was friendly, courteous and efficient.",food,positive,False,positive
"I'm glad I did as the food was very good and the staff was friendly, courteous and efficient.",staff,positive,False,positive
Their duck here is also absolutely delicious.,duck,positive,False,positive
"While it was large and a bit noisy, the drinks were fantastic, and the food was superb.",drinks,positive,False,positive
"While it was large and a bit noisy, the drinks were fantastic, and the food was superb.",food,positive,False,positive
One caveat: Some of the curried casseroles can be a trifle harsh.,curried casseroles,negative,False,negative
The food was almost always EXCELLENT.,food,positive,False,positive
I was pleasently surprised at the taste.,taste,positive,False,positive
"A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers.",seafood,positive,False,positive
"A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers.",cuisine,positive,True,positive
I never had an orange donut before so I gave it a shot.,orange donut,neutral,True,neutral
"they really provide a relaxing, laid-back atmosphere.",atmosphere,positive,False,positive
This particular location certainly uses substandard meats.,meats,negative,False,negative
The Management was less than accomodating.,Management,negative,False,negative
The ambience is also more laid-back and relaxed.,ambience,positive,False,positive
the teas are great and all the sweets are homemade.,teas,positive,False,positive
the teas are great and all the sweets are homemade.,sweets,positive,False,positive
mojitos and the service are the best part in there,mojitos,positive,False,positive
mojitos and the service are the best part in there,service,positive,False,positive
"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",Sandwiches,positive,False,positive
"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",burgers,positive,False,positive
"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",salads,positive,False,positive
"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",lemon-dressed cobb,positive,False,positive
The design is very intimate and romantic.,design,positive,False,positive
The food was wonderful and imaginative.,food,positive,False,positive
The staff is very sharp and they look good too.,staff,positive,False,positive
The worst though was the taste.,taste,negative,False,negative
The fajita we tried was tasteless and burned and the mole sauce was way too sweet.,fajita,negative,False,negative
The fajita we tried was tasteless and burned and the mole sauce was way too sweet.,mole sauce,negative,False,negative
Stay with the roasted chickens and you'll be fine.,roasted chickens,positive,True,positive
"The atmosphere is warm, comfortable, artsy and sexy.",atmosphere,positive,False,positive
"The food is great (big selection, reasonable prices) and the drinks are really good.",food,positive,False,positive
"The food is great (big selection, reasonable prices) and the drinks are really good.",selection,positive,False,positive
"The food is great (big selection, reasonable prices) and the drinks are really good.",prices,positive,False,positive
"The food is great (big selection, reasonable prices) and the drinks are really good.",drinks,positive,False,positive
The steak melted in my mouth.,steak,positive,True,positive
"The food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it.",waiters,positive,False,positive
"The food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it.",food,neutral,True,neutral
"Most importantly, it is reasonably priced.",priced,positive,False,positive
"The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great.",selection of food,positive,False,positive
"The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great.",atmosphere,positive,False,positive
"Only suggestion is that you skip the dessert, it was overpriced and fell short on taste.",dessert,negative,False,negative
"Only suggestion is that you skip the dessert, it was overpriced and fell short on taste.",taste,negative,False,negative
"Food was decent, but not great.",Food,positive,False,neutral
i dont know what some people who rave about this hot dog are talking about.,hot dog,negative,True,neutral
it is a hidden delight complete with a quaint bar and good food.,bar,positive,False,positive
it is a hidden delight complete with a quaint bar and good food.,food,positive,False,positive
The waiters ALWAYS look angry and even ignore their high-tipping regulars.,waiters,negative,False,negative
"the atmosphere is very nice, and a welcome escape from the rest of the SI mall.",atmosphere,positive,False,positive
"Yes, they're a bit more expensive then typical, but then again, so is their food.",food,positive,False,positive
"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",wraps,positive,False,positive
"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",burgers,positive,False,positive
"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",salads,positive,False,positive
"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",mango margareta,positive,False,positive
"Anywhere else, the prices would be 3x as high!",prices,positive,True,negative
The service we experienced was friendly and good.,service,positive,False,positive
Our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.,waiter,positive,False,positive
Our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.,staff,negative,True,negative
The folding chair I was seated at was uncomfortable.,folding chair,negative,False,negative
Service was among the best I have ever had in NYC.,Service,positive,False,positive
The fettucino alfredo was amazing.,fettucino alfredo,positive,False,positive
The food was very good and I was pleasantly surprised to see so many vegan options.,food,positive,False,positive
The food was very good and I was pleasantly surprised to see so many vegan options.,vegan options,positive,False,positive
I know real Indian food and this wasn't it.,Indian food,negative,True,negative
"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",Smoked Trout,positive,False,positive
"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",Lamb Chops,positive,False,positive
"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",Veal Chops,positive,False,positive
"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",Rabbit,positive,False,positive
"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",potato gratin,positive,False,positive
"Even when the chef is not in the house, the food and service are right on target.",chef,neutral,True,neutral
"Even when the chef is not in the house, the food and service are right on target.",food,positive,False,positive
"Even when the chef is not in the house, the food and service are right on target.",service,positive,False,positive
Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,eggs benedict,positive,False,positive
Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,mussels,positive,False,positive
Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,hamburger,positive,False,positive
"The waiters were very professional, courteous and attentive.",waiters,positive,False,positive
The falafal was rather over cooked and dried but the chicken was fine.,falafal,negative,False,negative
The falafal was rather over cooked and dried but the chicken was fine.,chicken,positive,False,positive
"I highly reccomend the grand marnier shrimp, it's insanely good.",grand marnier shrimp,positive,False,positive
"We been there and we really enjoy the food, was areally great food, and the service was really good.",food,positive,False,positive
"We been there and we really enjoy the food, was areally great food, and the service was really good.",food,positive,False,positive
"We been there and we really enjoy the food, was areally great food, and the service was really good.",service,positive,False,positive
Desserts include flan and sopaipillas.,Desserts,neutral,True,neutral
Desserts include flan and sopaipillas.,flan,neutral,True,positive
Desserts include flan and sopaipillas.,sopaipillas,neutral,True,positive
I was starving and the small portions were driving me crazy!,portions,negative,False,negative
The wait staff was loud and inconsiderate.,wait staff,negative,False,negative
"However, the food and service and dramatically lacking.",food,negative,False,negative
"However, the food and service and dramatically lacking.",service,negative,False,negative
The sushi is cut in blocks bigger than my cell phone.,sushi,negative,False,neutral
"The service is great, my soup always arrives nice and hot.",service,positive,False,positive
"The service is great, my soup always arrives nice and hot.",soup,positive,False,positive
It had been awhile and I forgot just how delicious crepes can be.,crepes,positive,False,positive
Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,desserts,positive,False,positive
Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,creme brulee,positive,False,positive
Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,apple tart,positive,False,positive
i had a delicious shrimp creole.,shrimp creole,positive,False,positive
The chicken dinner was real good.,chicken dinner,positive,False,positive
Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.,chili signed food items,negative,True,negative
The decor is designed in a contemporary Japanese style restaurant.,decor,neutral,True,positive
but the food was delicious.,food,positive,False,positive
"Try the ribs, sizzling beef and couple it with coconut rice.",coconut rice,positive,True,positive
"Try the ribs, sizzling beef and couple it with coconut rice.",ribs,positive,False,positive
"Try the ribs, sizzling beef and couple it with coconut rice.",beef,positive,False,positive
The avocado salad is a personal fave.,avocado salad,positive,False,positive
"And, the honey BBQ rib tips are yummy!",honey BBQ rib tips,positive,False,positive
The BEST Chinese food Uptown!,Chinese food,positive,False,positive
Service is known for bending over backwards to make everyone happy.,Service,positive,False,positive
The staff is very friendly.,staff,positive,False,positive
Waiters are very friendly and the pasta is out of this world.,Waiters,positive,False,positive
Waiters are very friendly and the pasta is out of this world.,pasta,positive,False,positive
Great wine list and great cocktail menu.,wine list,positive,False,positive
Great wine list and great cocktail menu.,cocktail menu,positive,False,positive
The crab cakes are delicious and the BBQ rib was perfect.,crab cakes,positive,False,positive
The crab cakes are delicious and the BBQ rib was perfect.,BBQ rib,positive,False,positive
"The food is wonderful, artfully done and simply delicious.",food,positive,False,positive
Tiny restaurant with very fast service.,service,positive,False,positive
My husband and I have been there at least 6 times and we've always been given the highest service and often free desserts.,service,positive,False,positive
My husband and I have been there at least 6 times and we've always been given the highest service and often free desserts.,desserts,positive,False,positive
"A beautiful atmosphere, perfect for drinks and/or appetizers.",atmosphere,positive,False,positive
"A beautiful atmosphere, perfect for drinks and/or appetizers.",drinks,neutral,False,positive
"A beautiful atmosphere, perfect for drinks and/or appetizers.",appetizers,neutral,False,positive
They make the best pizza in New Jersey.,pizza,positive,False,positive
"What a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.",service,positive,False,positive
"What a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.",food,positive,False,positive
"What a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.",beer list,positive,False,positive
"Frankly, the chinese food here is something I can make better at home.",chinese food,negative,True,negative
There was only one waiter for the whole restaurant upstairs.,waiter,neutral,True,negative
We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.,scallops,neutral,True,neutral
We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.,asparagus,neutral,True,neutral
We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.,soft shell crab,neutral,True,neutral
We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.,cheese plate,neutral,True,neutral
"Not to be overlooked, the service is excellent.",service,positive,False,positive
this without question is one of the worst hotdogs i have ever had.,hotdogs,negative,False,negative
"The staff is unbelievably friendly, and I dream about their Saag gosht...so good.",staff,positive,False,positive
"The staff is unbelievably friendly, and I dream about their Saag gosht...so good.",Saag gosht,positive,False,positive
I also recommend the garlic knots.,garlic knots,positive,False,positive
Best Indian food I have ever eaten.,Indian food,positive,False,positive
This place has the best pizza.,pizza,positive,False,positive
The music which is sometimes a little too heavy for my taste.,music,negative,False,negative
The service is excellent and always informative without an air.,service,positive,False,positive
The owner and staff go to great lengths to make you feel comfortable.,owner,positive,True,positive
The owner and staff go to great lengths to make you feel comfortable.,staff,positive,True,positive
The sushi is always fresh and yummy and the menu is pretty varied.,sushi,positive,False,positive
The sushi is always fresh and yummy and the menu is pretty varied.,menu,positive,False,positive
"The food was great - sushi was good, but the cooked food amazed us.",food,positive,False,positive
"The food was great - sushi was good, but the cooked food amazed us.",sushi,positive,False,positive
"The food was great - sushi was good, but the cooked food amazed us.",cooked food,positive,False,positive
their dinner specials are fantastic.,dinner specials,positive,False,positive
"Great food, great drinks, nice dining atmosphere.",food,positive,False,positive
"Great food, great drinks, nice dining atmosphere.",drinks,positive,False,positive
"Great food, great drinks, nice dining atmosphere.",dining atmosphere,positive,False,positive
"For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants.",price,negative,True,negative
"For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants.",food,negative,True,neutral
Food portion was SMALL and below average.,Food portion,negative,False,negative
Sit back in one of those comfortable chairs.,chairs,positive,False,positive
My favs here are the Tacos Pastor and the Tostada de Tinga...,Tacos Pastor,positive,False,positive
My favs here are the Tacos Pastor and the Tostada de Tinga...,Tostada de Tinga,positive,False,positive
"The bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy.",bartenders,positive,False,positive
"The bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy.",managers,positive,False,positive
"The bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy.",decor,positive,False,positive
"For a savory take on the soup and sandwich meal, try the hot and sour soup.",hot and sour soup,positive,False,positive
"For a savory take on the soup and sandwich meal, try the hot and sour soup.",soup and sandwich meal,positive,False,positive
"This bar has it all - great drinks, cool atmosphere, excellent service and delicious food.",drinks,positive,False,positive
"This bar has it all - great drinks, cool atmosphere, excellent service and delicious food.",atmosphere,positive,False,positive
"This bar has it all - great drinks, cool atmosphere, excellent service and delicious food.",service,positive,False,positive
"This bar has it all - great drinks, cool atmosphere, excellent service and delicious food.",food,positive,False,positive
"Also, the chick peas with shrimp (appetizer) is divine.",chick peas with shrimp (appetizer),positive,False,positive
"Finally, I got sick of the bad service, obnoxious smirks, and snotty back talk.",service,negative,False,negative
We ordered lamb which was perfectly cooked and tasted awesome.,lamb,positive,False,positive
i especially like their soft shell crab sandwich with fries.,soft shell crab sandwich with fries,positive,False,positive
"if you're looking for authentic hong kong-style food, look no further.",hong kong-style food,positive,False,positive
good food good wine that's it.,food,positive,False,positive
good food good wine that's it.,wine,positive,False,positive
The staff was extremely friendly and pleasant.,staff,positive,False,positive
"While their kitchen food is delicious, their Sushi is out of this world.",kitchen food,positive,False,positive
"While their kitchen food is delicious, their Sushi is out of this world.",Sushi,positive,False,positive
"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",service,positive,False,positive
"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",waitresses,positive,False,positive
"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",atmosphere,positive,False,positive
"It's traditional, simple italian food.",italian food,positive,False,positive
"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",food,positive,False,positive
"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",rolls,positive,False,positive
"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",sushi/sashimi,neutral,True,neutral
(The sashimi is cut a little thinly.,sashimi,negative,False,negative
Could have had better for 1/3 the price in Chinatown.,price,negative,True,negative
"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",hot dogs,positive,False,positive
"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",breakfast sandwiches,positive,False,positive
"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",tator tots,positive,False,positive
"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",English muffins,positive,False,positive
"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",Taylor ham,positive,True,positive
"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",pork product,positive,False,positive
"Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.",manager,negative,False,negative
"Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.",bartender,negative,False,negative
"Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.",drinks,neutral,False,neutral
"Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.",waiting,negative,False,negative
"Not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.",service,positive,False,positive
"Not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.",atmosphere,positive,False,positive
"When the dish arrived it was blazing with green chillis, definitely not edible by a human.",green chillis,negative,False,negative
"When the dish arrived it was blazing with green chillis, definitely not edible by a human.",dish,negative,False,negative
The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).,service,negative,False,negative
The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).,food,negative,False,negative
The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).,meals,neutral,True,negative
It's about $7 for lunch and they have take-out or dine-in.,lunch,neutral,True,neutral
It's about $7 for lunch and they have take-out or dine-in.,take-out,neutral,True,neutral
It's about $7 for lunch and they have take-out or dine-in.,dine-in,neutral,True,neutral
Be sure to accompany your food with one of their fresh juice concoctions.,food,neutral,True,neutral
Be sure to accompany your food with one of their fresh juice concoctions.,fresh juice concoctions,positive,False,positive
The food is great and the prices are reasonable.,food,positive,False,positive
The food is great and the prices are reasonable.,prices,positive,False,positive
"The place is clean, and if you like soul food, then this is the place to be!",place,positive,False,positive
"The place is clean, and if you like soul food, then this is the place to be!",soul food,positive,False,positive
I had roast chicken and a salad.,roast chicken,neutral,True,neutral
I had roast chicken and a salad.,salad,neutral,True,neutral
They have a very good chicken with avocado and good tuna as well.,chicken with avocado,positive,False,positive
They have a very good chicken with avocado and good tuna as well.,tuna,positive,False,positive
But the meals were terrible.,meals,negative,False,negative
My chicken was completely dried out and on the cold side and the sauce was not very flavorful.,chicken,negative,False,negative
My chicken was completely dried out and on the cold side and the sauce was not very flavorful.,sauce,negative,False,negative
Malted Milk Ball Gelato - have you ever in your life heard of anything so ridiculously wonderful?,Malted Milk Ball Gelato,positive,False,positive
Way too much money for such a terrible meal.,meal,negative,False,negative
"However, the service is absolutely horrible.",service,negative,False,negative
A con was the slow bar service.,bar service,negative,False,negative
Dessert was also to die for!,Dessert,positive,False,positive
"BTW, the service is very good .",service,positive,False,positive
It's eaten with black vinegar and shredded ginger.,black vinegar,neutral,True,neutral
It's eaten with black vinegar and shredded ginger.,shredded ginger,neutral,True,neutral
"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",lighting,negative,False,negative
"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",food,negative,False,negative
"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",disco pop duo,negative,False,negative
